plan_week,region,node_type,origin_node,destination_node,lane_id,ship_method,forecasted_packages,actual_packages,planned_capacity,available_capacity,capacity_utilization,volume_variance,forecast_error_pct,cost_per_package,on_time_delivery_rate,missed_promise_units,backlog_units,labor_hours,trailer_count
2026-02-23,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Linehaul,140588,153656,153080,-576,1.0038,13068,0.093,1.39,0.9333,8528,2348,10718,104
2026-02-23,South,Sort Center,ATL2,MIA5,ATL2-MIA5,Ground,66263,70139,71261,1122,0.9843,3876,0.0585,1.54,0.9502,3328,1405,5145,47
2026-02-23,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Same-Day,17952,20750,20993,243,0.9884,2798,0.1559,2.65,0.9664,524,1299,1716,12
2026-02-23,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Ground,28860,27676,26807,-869,1.0324,-1184,-0.041,1.41,0.9515,1200,1467,1777,22
2026-02-23,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Air,60163,60298,64088,3790,0.9409,135,0.0022,2.06,0.9792,1358,2762,3949,37
2026-02-23,South,Delivery Station,BNA3,ATL2,BNA3-ATL2,Linehaul,60993,50845,72003,21158,0.7062,-10148,-0.1664,1.27,0.9629,1865,359,3524,33
2026-02-23,South,Delivery Station,BNA3,ATL2,BNA3-ATL2,Linehaul,59954,51640,73824,22184,0.6995,-8314,-0.1387,1.42,0.9746,1458,550,4661,32
2026-02-23,South,Delivery Station,BNA3,ATL2,BNA3-ATL2,Ground,40136,45354,45532,178,0.9961,5218,0.13,1.4,0.9784,871,1909,3770,28
2026-02-23,South,Sort Center,BNA3,ATL2,BNA3-ATL2,Air,35141,32973,32632,-341,1.0104,-2168,-0.0617,2.08,0.9457,1764,2899,2783,23
2026-02-23,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Ground,74976,77831,84727,6896,0.9186,2855,0.0381,1.48,0.9685,2845,456,6247,46
2026-02-23,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Ground,88539,88745,109265,20520,0.8122,206,0.0023,1.45,0.9746,1901,1885,8192,54
2026-02-23,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Air,72099,72346,74886,2540,0.9661,247,0.0034,2.0,0.9805,1208,230,4858,55
2026-02-23,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Air,35083,34380,33020,-1360,1.0412,-703,-0.02,2.13,0.9737,1054,2176,2745,19
2026-02-23,South,Delivery Station,CLT5,RDU2,CLT5-RDU2,Ground,59518,56976,52875,-4101,1.0776,-2542,-0.0427,1.37,0.9412,3536,4627,5151,38
2026-02-23,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Ground,135551,131786,168295,36509,0.7831,-3765,-0.0278,1.5,0.9724,3014,235,10504,87
2026-02-23,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Ground,91045,99767,113532,13765,0.8788,8722,0.0958,1.36,0.935,6417,892,8023,58
2026-02-23,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Air,71255,68710,88506,19796,0.7763,-2545,-0.0357,1.72,0.9479,3434,2276,6066,48
2026-02-23,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Ground,64625,61311,66473,5162,0.9223,-3314,-0.0513,1.23,0.9603,2805,344,3944,37
2026-02-23,South,Fulfillment Center,MIA5,ATL2,MIA5-ATL2,Ground,51982,58639,55558,-3081,1.0555,6657,0.1281,1.36,0.9588,2363,3268,5139,33
2026-02-23,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Ground,33795,35257,41955,6698,0.8404,1462,0.0433,1.23,0.9667,902,1894,2956,28
2026-02-23,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Linehaul,106918,102112,128568,26456,0.7942,-4806,-0.045,1.27,0.9572,5206,182,9174,69
2026-02-23,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Linehaul,125289,118391,149550,31159,0.7916,-6898,-0.0551,1.14,0.9752,2775,1829,10255,79
2026-02-23,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Ground,147403,140889,159067,18178,0.8857,-6514,-0.0442,1.36,0.9715,4346,741,10629,92
2026-02-23,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Air,69501,64769,86661,21892,0.7474,-4732,-0.0681,1.73,0.9546,3173,446,6445,49
2026-02-23,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,88220,83680,77380,-6300,1.0814,-4540,-0.0515,1.4,0.9762,2088,8627,5637,50
2026-02-23,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,43240,44556,50106,5550,0.8892,1316,0.0304,1.29,0.9445,2584,2388,3951,27
2026-02-23,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Ground,53152,56996,57414,418,0.9927,3844,0.0723,1.2,0.9509,2033,421,4908,33
2026-02-23,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Ground,68127,70381,73575,3194,0.9566,2254,0.0331,1.32,0.9479,3750,1152,4850,56
2026-02-23,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Air,18132,15427,21997,6570,0.7013,-2705,-0.1492,2.04,0.9662,544,613,1103,10
2026-02-23,West,Sort Center,LAS7,PHX3,LAS7-PHX3,Ground,53821,52742,64623,11881,0.8161,-1079,-0.02,1.3,0.9648,1387,2413,3840,32
2026-02-23,West,Delivery Station,LAS7,PHX3,LAS7-PHX3,Ground,70768,71413,74405,2992,0.9598,645,0.0091,1.2,0.9475,4058,1216,4482,51
2026-02-23,West,Delivery Station,LAS7,PHX3,LAS7-PHX3,Linehaul,20809,20145,25266,5121,0.7973,-664,-0.0319,1.22,0.9526,1033,861,1923,13
2026-02-23,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Ground,100978,96465,120856,24391,0.7982,-4513,-0.0447,1.49,0.937,7035,1860,6838,70
2026-02-23,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Ground,76861,70307,80970,10663,0.8683,-6554,-0.0853,1.58,0.9521,2815,2380,6330,45
2026-02-23,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Air,37713,38530,45707,7177,0.843,817,0.0217,1.86,0.9626,1672,2119,3561,31
2026-02-23,West,Sort Center,LAX9,SAN5,LAX9-SAN5,Air,52000,47893,53454,5561,0.896,-4107,-0.079,1.92,0.9536,1736,546,4718,27
2026-02-23,West,Sort Center,LAX9,SAN5,LAX9-SAN5,Ground,30161,28327,33395,5068,0.8482,-1834,-0.0608,1.2,0.9694,1010,2032,2233,23
2026-02-23,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Air,108553,101260,129235,27975,0.7835,-7293,-0.0672,1.91,0.938,6327,2702,7613,80
2026-02-23,West,Delivery Station,LAX9,SAN5,LAX9-SAN5,Ground,46080,45446,50301,4855,0.9035,-634,-0.0138,1.55,0.9734,1120,1377,3034,28
2026-02-23,West,Sort Center,LAX9,SAN5,LAX9-SAN5,Air,63461,70330,74307,3977,0.9465,6869,0.1082,2.16,0.939,4866,1007,6367,51
2026-02-23,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,67432,68473,81217,12744,0.8431,1041,0.0154,1.34,0.9484,3962,1281,4931,41
2026-02-23,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Ground,146614,133114,169501,36387,0.7853,-13500,-0.0921,1.48,0.9561,4852,3073,10734,106
2026-02-23,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Ground,40189,41272,38706,-2566,1.0663,1083,0.0269,1.36,0.9693,1395,3497,3917,32
2026-02-23,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Air,146857,155401,165043,9642,0.9416,8544,0.0582,2.18,0.9661,5242,968,12381,119
2026-02-23,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Same-Day,34746,33829,42669,8840,0.7928,-917,-0.0264,2.42,0.9646,979,2457,3101,26
2026-02-23,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Ground,133689,115735,112783,-2952,1.0262,-17954,-0.1343,1.24,0.9697,3493,3225,8012,73
2026-02-23,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Air,100472,91488,91928,440,0.9952,-8984,-0.0894,2.27,0.9566,4184,3246,7382,65
2026-02-23,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Linehaul,94178,93234,97712,4478,0.9542,-944,-0.01,1.13,0.9469,5703,1043,7057,57
2026-02-23,West,Fulfillment Center,PHX3,LAS7,PHX3-LAS7,Air,98304,106111,113695,7584,0.9333,7807,0.0794,2.23,0.9743,2524,297,9247,69
2026-02-23,West,Fulfillment Center,PHX3,LAS7,PHX3-LAS7,Ground,67810,71799,81379,9580,0.8823,3989,0.0588,1.54,0.9721,1873,2026,6288,42
2026-02-23,West,Delivery Station,PHX3,LAS7,PHX3-LAS7,Linehaul,123911,121697,147443,25746,0.8254,-2214,-0.0179,1.24,0.9455,6386,756,8197,96
2026-02-23,West,Sort Center,PHX3,LAS7,PHX3-LAS7,Linehaul,71455,71491,85337,13846,0.8377,36,0.0005,1.25,0.9416,4998,1204,7034,50
2026-02-23,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,115020,96713,141626,44913,0.6829,-18307,-0.1592,1.32,0.9361,7160,588,6377,54
2026-02-23,West,Delivery Station,SEA1,PDX5,SEA1-PDX5,Ground,112264,111085,112067,982,0.9912,-1179,-0.0105,1.22,0.971,3319,2196,7943,83
2026-02-23,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Air,36437,38995,40221,1226,0.9695,2558,0.0702,1.97,0.9498,2132,1367,3735,31
2026-02-23,West,Sort Center,SFO9,LAX9,SFO9-LAX9,Ground,112632,110840,112841,2001,0.9823,-1792,-0.0159,1.32,0.9669,4090,966,8258,77
2026-02-23,West,Delivery Station,SFO9,LAX9,SFO9-LAX9,Ground,72587,84667,78090,-6577,1.0842,12080,0.1664,1.19,0.9478,4907,6930,7680,54
2026-02-23,West,Delivery Station,SFO9,LAX9,SFO9-LAX9,Ground,44161,47877,52459,4582,0.9127,3716,0.0841,1.29,0.9514,2666,2905,3092,27
2026-02-23,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Ground,147712,141122,182720,41598,0.7723,-6590,-0.0446,1.46,0.9815,2527,1354,12198,85
2026-02-23,West,Sort Center,SFO9,LAX9,SFO9-LAX9,Ground,120841,127582,142341,14759,0.8963,6741,0.0558,1.52,0.9424,6102,1786,9737,82
2026-02-23,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Air,41471,39324,46235,6911,0.8505,-2147,-0.0518,2.27,0.9357,1868,762,2872,27
2026-02-23,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Ground,62061,60359,76360,16001,0.7905,-1702,-0.0274,1.36,0.9445,3803,79,4759,35
2026-02-23,West,Fulfillment Center,SLC2,DEN4,SLC2-DEN4,Ground,114373,111181,123986,12805,0.8967,-3192,-0.0279,1.41,0.9712,3163,1101,7489,84
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Linehaul,80577,81252,99165,17913,0.8194,675,0.0084,1.32,0.9667,2017,1017,6812,64
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,116887,106872,123410,16538,0.866,-10015,-0.0857,1.49,0.9708,3696,403,6897,66
2026-02-23,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Same-Day,24958,25560,26972,1412,0.9476,602,0.0241,2.42,0.9734,523,1650,1809,18
2026-02-23,West,Fulfillment Center,SLC2,DEN4,SLC2-DEN4,Ground,53718,57603,56234,-1369,1.0243,3885,0.0723,1.29,0.9587,2688,2968,5354,41
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Air,38712,42135,47393,5258,0.8891,3423,0.0884,2.06,0.9653,1258,887,3547,24
2026-02-23,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Air,24206,25445,30147,4702,0.844,1239,0.0512,2.27,0.9677,689,1825,1836,18
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,82877,88709,102222,13513,0.8678,5832,0.0704,1.56,0.9674,2930,1573,7063,73
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,98640,102260,107105,4845,0.9548,3620,0.0367,1.24,0.9572,3572,1737,8464,62
2026-02-23,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,35551,39331,36926,-2405,1.0651,3780,0.1063,1.46,0.9547,1505,4097,2990,23
2026-03-02,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,76358,76685,83225,6540,0.9214,327,0.0043,1.3,0.962,2911,1796,5629,63
2026-03-02,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Ground,103372,104947,117484,12537,0.8933,1575,0.0152,1.47,0.9622,3490,1918,6776,82
2026-03-02,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Air,91645,91305,85071,-6234,1.0733,-340,-0.0037,1.9,0.9262,6304,8181,6114,59
2026-03-02,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Same-Day,9013,9283,10180,897,0.9119,270,0.03,2.28,0.9359,536,630,688,6
2026-03-02,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Linehaul,36184,38246,43772,5526,0.8738,2062,0.057,1.33,0.9766,708,407,3145,25
2026-03-02,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Air,18054,19349,22145,2796,0.8737,1295,0.0717,2.3,0.9842,216,554,1562,12
2026-03-02,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Ground,99541,109827,105499,-4328,1.041,10286,0.1033,1.29,0.9324,6586,7166,9103,61
2026-03-02,Central,Delivery Station,MSP2,ORD3,MSP2-ORD3,Air,54033,49612,63079,13467,0.7865,-4421,-0.0818,1.75,0.9819,1075,500,3784,33
2026-03-02,Central,Sort Center,MSP2,ORD3,MSP2-ORD3,Ground,41847,38867,38990,123,0.9968,-2980,-0.0712,1.34,0.9319,2281,492,2588,31
2026-03-02,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Linehaul,99372,94328,110938,16610,0.8503,-5044,-0.0508,1.36,0.943,4717,2389,6314,61
2026-03-02,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Ground,48783,43414,52325,8911,0.8297,-5369,-0.1101,1.38,0.9464,2313,1813,3290,29
2026-03-02,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Ground,20615,22217,25549,3332,0.8696,1602,0.0777,1.55,0.9687,600,3469,1632,18
2026-03-02,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Ground,34693,34897,40549,5652,0.8606,204,0.0059,1.56,0.9359,2495,440,3300,25
2026-03-02,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Air,24182,24452,29922,5470,0.8172,270,0.0112,1.88,0.9362,1477,1120,1765,17
2026-03-02,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Air,78607,82981,91241,8260,0.9095,4374,0.0556,2.3,0.945,3363,894,6549,66
2026-03-02,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Ground,119482,126018,134828,8810,0.9347,6536,0.0547,1.19,0.9667,3506,917,10447,79
2026-03-02,East,Sort Center,EWR4,JFK8,EWR4-JFK8,Air,104273,109936,109769,-167,1.0015,5663,0.0543,2.05,0.9417,5771,1105,7376,85
2026-03-02,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Ground,75797,76652,73146,-3506,1.0479,855,0.0113,1.45,0.9619,2183,4868,5517,51
2026-03-02,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Linehaul,21518,23881,24872,991,0.9602,2363,0.1098,1.24,0.9491,1040,461,1759,15
2026-03-02,East,Fulfillment Center,JFK8,BOS6,JFK8-BOS6,Ground,59431,52822,51390,-1432,1.0279,-6609,-0.1112,1.51,0.9685,1349,2808,4894,36
2026-03-02,East,Fulfillment Center,PHL6,BOS6,PHL6-BOS6,Air,89568,89858,111303,21445,0.8073,290,0.0032,1.88,0.9835,1546,1834,6838,65
2026-03-02,East,Fulfillment Center,PHL6,BOS6,PHL6-BOS6,Air,69744,71445,86410,14965,0.8268,1701,0.0244,1.95,0.9565,3422,953,4640,40
2026-03-02,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Air,59003,53467,71350,17883,0.7494,-5536,-0.0938,2.14,0.9638,2121,2021,4953,37
2026-03-02,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Ground,50469,49567,61362,11795,0.8078,-902,-0.0179,1.36,0.9504,2184,125,4029,33
2026-03-02,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Ground,63743,67021,66356,-665,1.01,3278,0.0514,1.37,0.9708,2223,2212,6376,49
2026-03-02,South,Sort Center,ATL2,MIA5,ATL2-MIA5,Linehaul,72005,76375,81921,5546,0.9323,4370,0.0607,1.17,0.9371,5147,452,5690,46
2026-03-02,South,Sort Center,BNA3,ATL2,BNA3-ATL2,Air,74255,75659,76686,1027,0.9866,1404,0.0189,1.81,0.9382,5363,2719,6654,50
2026-03-02,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Linehaul,142268,136216,163653,27437,0.8323,-6052,-0.0425,1.46,0.94,8906,1373,8914,78
2026-03-02,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Linehaul,177583,217316,188981,-28335,1.1499,39733,0.2237,1.34,0.918,14606,29865,16872,154
2026-03-02,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Ground,104401,120331,111055,-9276,1.0835,15930,0.1526,1.33,0.9428,4872,12572,11820,71
2026-03-02,South,Delivery Station,CLT5,RDU2,CLT5-RDU2,Air,91614,78977,107377,28400,0.7355,-12637,-0.1379,1.74,0.9667,2020,1779,6975,59
2026-03-02,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Ground,28659,28194,30285,2091,0.931,-465,-0.0162,1.42,0.9472,1246,964,2166,18
2026-03-02,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Linehaul,24481,25465,25064,-401,1.016,984,0.0402,1.43,0.9353,1798,2223,1694,14
2026-03-02,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Ground,144941,145318,152123,6805,0.9553,377,0.0026,1.39,0.9504,6849,402,13484,92
2026-03-02,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Linehaul,66314,70873,72414,1541,0.9787,4559,0.0687,1.22,0.9811,1038,2437,5607,53
2026-03-02,South,Fulfillment Center,MIA5,ATL2,MIA5-ATL2,Ground,33929,33445,36793,3348,0.909,-484,-0.0143,1.36,0.9476,1519,215,3317,21
2026-03-02,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Ground,53076,50092,58590,8498,0.855,-2984,-0.0562,1.29,0.9678,1539,556,4039,38
2026-03-02,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Air,31123,29272,33896,4624,0.8636,-1851,-0.0595,2.11,0.9825,396,605,2338,17
2026-03-02,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Air,111657,116008,133109,17101,0.8715,4351,0.039,1.96,0.9422,7945,1268,7643,94
2026-03-02,South,Sort Center,RDU2,CLT5,RDU2-CLT5,Linehaul,48630,54755,54350,-405,1.0075,6125,0.126,1.22,0.9425,3375,639,3744,31
2026-03-02,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,57651,60885,68882,7997,0.8839,3234,0.0561,1.37,0.9702,1297,2454,3933,44
2026-03-02,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Same-Day,20177,19612,23237,3625,0.844,-565,-0.028,2.24,0.9522,915,1506,1276,11
2026-03-02,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,26726,25967,32251,6284,0.8052,-759,-0.0284,1.36,0.9605,818,1062,1689,15
2026-03-02,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Air,13872,14854,15431,577,0.9626,982,0.0708,2.23,0.9688,434,1328,1467,8
2026-03-02,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Ground,72300,82980,85820,2840,0.9669,10680,0.1477,1.42,0.9502,3360,635,6679,68
2026-03-02,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Air,112054,120448,114411,-6037,1.0528,8394,0.0749,2.1,0.9646,3657,6396,10806,74
2026-03-02,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Air,15985,17045,19653,2608,0.8673,1060,0.0663,1.77,0.9515,841,2196,1265,9
2026-03-02,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Air,72691,70551,78762,8211,0.8957,-2140,-0.0294,1.75,0.9826,1068,841,6851,44
2026-03-02,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Linehaul,97653,99842,115873,16031,0.8617,2189,0.0224,1.46,0.95,3760,564,6626,74
2026-03-02,West,Delivery Station,LAX9,SAN5,LAX9-SAN5,Ground,52583,49104,62001,12897,0.792,-3479,-0.0662,1.58,0.9651,1729,1640,3496,30
2026-03-02,West,Delivery Station,LAX9,SAN5,LAX9-SAN5,Ground,98224,96730,118476,21746,0.8165,-1494,-0.0152,1.57,0.9839,1776,149,6323,75
2026-03-02,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,83382,78101,101414,23313,0.7701,-5281,-0.0633,1.42,0.9351,4905,1996,6553,55
2026-03-02,West,Delivery Station,LAX9,SAN5,LAX9-SAN5,Ground,25193,26823,30321,3498,0.8846,1630,0.0647,1.23,0.984,504,277,1866,19
2026-03-02,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,137220,147824,145745,-2079,1.0143,10604,0.0773,1.47,0.9741,3216,4218,14274,119
2026-03-02,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Air,60225,62990,63560,570,0.991,2765,0.0459,1.79,0.9558,2819,68,4671,37
2026-03-02,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Ground,106746,106929,128682,21753,0.831,183,0.0017,1.57,0.9719,2751,3182,7782,66
2026-03-02,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Ground,96454,101214,116491,15277,0.8689,4760,0.0493,1.21,0.9848,1728,1046,6731,59
2026-03-02,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Air,41703,41788,43381,1593,0.9633,85,0.002,1.9,0.9824,521,1175,3131,34
2026-03-02,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Air,71732,63865,82861,18996,0.7707,-7867,-0.1097,2.11,0.9365,4351,1426,5283,49
2026-03-02,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Ground,96853,99239,115248,16009,0.8611,2386,0.0246,1.5,0.97,2795,1773,9817,65
2026-03-02,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Same-Day,33953,35845,40338,4493,0.8886,1892,0.0557,2.11,0.9355,2591,1101,2845,20
2026-03-02,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Air,13443,13940,12998,-942,1.0725,497,0.037,2.3,0.973,434,2914,943,9
2026-03-02,West,Delivery Station,PHX3,LAS7,PHX3-LAS7,Ground,93519,89106,109527,20421,0.8136,-4413,-0.0472,1.43,0.956,4689,1202,5645,66
2026-03-02,West,Sort Center,PHX3,LAS7,PHX3-LAS7,Ground,109874,119818,119491,-327,1.0027,9944,0.0905,1.58,0.957,4783,1971,11417,72
2026-03-02,West,Sort Center,PHX3,LAS7,PHX3-LAS7,Ground,67473,68738,77635,8897,0.8854,1265,0.0187,1.52,0.9673,2641,837,4993,39
2026-03-02,West,Sort Center,SEA1,PDX5,SEA1-PDX5,Ground,137855,140705,163004,22299,0.8632,2850,0.0207,1.21,0.9678,4800,1062,9286,109
2026-03-02,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,77367,80331,94880,14549,0.8467,2964,0.0383,1.32,0.9765,2113,441,5845,53
2026-03-02,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,85440,95947,101239,5292,0.9477,10507,0.123,1.59,0.9776,2543,2566,8915,61
2026-03-02,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Linehaul,178153,168589,215874,47285,0.781,-9564,-0.0537,1.47,0.9429,8245,503,12751,115
2026-03-02,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,168955,171514,193989,22475,0.8841,2559,0.0151,1.32,0.9695,3999,1528,12376,114
2026-03-02,West,Sort Center,SFO9,LAX9,SFO9-LAX9,Ground,59189,61953,62276,323,0.9948,2764,0.0467,1.34,0.949,2265,1171,5097,35
2026-03-02,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Ground,91866,94465,94088,-377,1.004,2599,0.0283,1.51,0.9715,1969,800,7193,58
2026-03-02,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Linehaul,113186,114556,122440,7884,0.9356,1370,0.0121,1.11,0.9704,3376,1625,8555,88
2026-03-02,West,Delivery Station,SFO9,LAX9,SFO9-LAX9,Ground,78270,81236,93017,11781,0.8733,2966,0.0379,1.44,0.969,2321,1973,7991,54
2026-03-02,West,Delivery Station,SFO9,LAX9,SFO9-LAX9,Linehaul,106003,116891,111941,-4950,1.0442,10888,0.1027,1.17,0.9697,2607,6235,8954,68
2026-03-02,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Same-Day,8553,8617,10235,1618,0.8419,64,0.0075,2.58,0.9363,571,1090,553,6
2026-03-02,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,70834,71285,80490,9205,0.8856,451,0.0064,1.37,0.9834,1141,1446,5551,43
2026-03-02,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Ground,32781,32619,36365,3746,0.897,-162,-0.0049,1.31,0.9418,1719,1379,2837,19
2026-03-02,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Air,19072,19256,17822,-1434,1.0805,184,0.0096,1.86,0.9674,604,3458,1706,11
2026-03-02,West,Fulfillment Center,SLC2,DEN4,SLC2-DEN4,Ground,64926,55755,80909,25154,0.6891,-9171,-0.1413,1.32,0.9791,977,148,3795,38
2026-03-02,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Ground,92515,99513,95820,-3693,1.0385,6998,0.0756,1.5,0.9745,2162,4328,7101,59
2026-03-09,Central,Delivery Station,DFW7,IAH3,DFW7-IAH3,Linehaul,103941,108197,127949,19752,0.8456,4256,0.0409,1.29,0.9557,5081,704,8006,65
2026-03-09,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Same-Day,21747,21898,20821,-1077,1.0517,151,0.0069,2.18,0.9211,1492,1597,1404,14
2026-03-09,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Linehaul,96218,108943,109872,929,0.9915,12725,0.1323,1.3,0.9335,5899,2909,9892,80
2026-03-09,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Linehaul,35893,38701,42374,3673,0.9133,2808,0.0782,1.18,0.9548,1770,890,3668,23
2026-03-09,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,133824,136221,160465,24244,0.8489,2397,0.0179,1.35,0.9747,2939,1288,13234,113
2026-03-09,Central,Fulfillment Center,IND9,ORD3,IND9-ORD3,Air,22277,25119,25295,176,0.993,2842,0.1276,2.12,0.9483,1333,157,2346,16
2026-03-09,Central,Fulfillment Center,IND9,ORD3,IND9-ORD3,Linehaul,94200,79848,107501,27653,0.7428,-14352,-0.1524,1.38,0.9402,3966,1974,6615,51
2026-03-09,Central,Sort Center,IND9,ORD3,IND9-ORD3,Ground,40263,44116,41159,-2957,1.0718,3853,0.0957,1.33,0.9427,2783,3703,3483,26
2026-03-09,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Ground,60525,64575,70952,6377,0.9101,4050,0.0669,1.46,0.9825,1306,1599,4559,41
